ImageID,Recall@100,Precision@100,FPR@100
val\01ab773186c630c4,0.35714285714285765,0.35714285714285676,0.6428571428571428
val\022c1f420446d118,1.0,0.9999999999999991,0.0
val\0709eb8e8c2d19fa,0.5714285714285712,0.5714285714285712,0.4285714285714284
val\07f52dac7724e48d,0.5714285714285712,0.5714285714285712,0.4285714285714284
val\092f6bd6d306fdf6,0.5,0.5,0.5
val\105c98d1ee5f03ef,0.5714285714285712,0.5714285714285712,0.4285714285714284
val\111147418c6aca65,0.2857142857142865,0.2857142857142847,0.7142857142857142
val\11596769ce629446,0.5714285714285712,0.5714285714285712,0.4285714285714284
val\12527a39a5152a59,0.14285714285714324,0.14285714285714146,0.857142857142857
val\12e21b9f7fefde62,0.4285714285714288,0.42857142857142794,0.5714285714285714
val\142a3027db90d68e,0.5,0.5,0.5
val\17712bc05cde6832,0.2142857142857144,0.21428571428571352,0.7857142857142858
val\1872ac6a8cfded6b,0.07142857142857117,0.07142857142857029,0.9285714285714286
val\1c3be6adfaccc9a3,0.14285714285714324,0.14285714285714146,0.857142857142857
val\1c79f2e9f0afcd38,0.5714285714285712,0.5714285714285712,0.4285714285714284
val\1cbe22ffa7bb9876,0.07142857142857117,0.07142857142857029,0.9285714285714286
val\1d51cea4bb42dbf9,0.4285714285714288,0.42857142857142794,0.5714285714285714
val\20082dae8427132e,0.5,0.5,0.5
val\208fcde7b90bcbf8,0.35714285714285765,0.35714285714285676,0.6428571428571428
val\23b73886e375fa7e,0.07142857142857117,0.07142857142857029,0.9285714285714286
val\245cf054e1982fe3,0.35714285714285765,0.35714285714285676,0.6428571428571428
val\247e4fff14e45e33,0.0,0.0,1.0000000000000002
val\281412f2119177e5,0.4285714285714288,0.42857142857142794,0.5714285714285714
val\2b7d4c36406a4395,0.2857142857142865,0.2857142857142847,0.7142857142857142
val\2c377a54637a5029,0.9285714285714288,0.9285714285714288,0.07142857142857117
val\2d609b81a696d4a3,0.5,0.5,0.5
val\2e5d76e12007072f,0.4285714285714288,0.42857142857142794,0.5714285714285714
val\319430e85fcd4efa,0.5714285714285712,0.5714285714285712,0.4285714285714284
val\31c40da724ed3376,0.5714285714285712,0.5714285714285712,0.4285714285714284
val\31d1fcc27cf142c0,0.2142857142857144,0.21428571428571352,0.7857142857142858
val\35299cbbddd32ec4,0.5,0.5,0.5
val\39432d2f206e6096,0.7142857142857153,0.7142857142857144,0.2857142857142856
val\3a18c41d6a250c1a,0.35714285714285765,0.35714285714285676,0.6428571428571428
val\3e7f47c92b313f1f,0.5714285714285712,0.5714285714285712,0.4285714285714284
val\3e8c68133c1ea8f3,0.0,0.0,1.0000000000000002
val\3feda4a7beb2af02,0.7142857142857153,0.7142857142857144,0.2857142857142856
val\40ccc4a6c97f6f01,0.8571428571428577,0.8571428571428577,0.14285714285714257
val\4109a22757bf0a63,0.2857142857142865,0.2857142857142847,0.7142857142857142
val\510eb4fdb2d017fd,0.4285714285714288,0.42857142857142794,0.5714285714285714
val\517e9176710959b7,0.4285714285714288,0.42857142857142794,0.5714285714285714
val\5635c9b530f89131,0.35714285714285765,0.35714285714285676,0.6428571428571428
val\58ddbcb5fc10b196,0.7857142857142865,0.7857142857142856,0.2142857142857142
val\5b3af9fdc87e57d4,0.5,0.5,0.5
val\5c6aade0f7e35273,0.7142857142857153,0.7142857142857144,0.2857142857142856
val\62abaccc5fe7a452,0.6428571428571423,0.6428571428571423,0.357142857142857
val\649183b50912e60c,0.14285714285714324,0.14285714285714146,0.857142857142857
val\6c01b637a2761939,0.35714285714285765,0.35714285714285676,0.6428571428571428
val\6c25a2bc6f160530,0.35714285714285765,0.35714285714285676,0.6428571428571428
val\7173fa144f0e4927,0.5714285714285712,0.5714285714285712,0.4285714285714284
val\72f249431922cb46,0.14285714285714324,0.14285714285714146,0.857142857142857
val\738e234e59615c71,0.14285714285714324,0.14285714285714146,0.857142857142857
val\74596be8135c03f3,0.5714285714285712,0.5714285714285712,0.4285714285714284
val\7b9470b43d3d322a,0.5714285714285712,0.5714285714285712,0.4285714285714284
val\7f700ca234a34cea,0.7142857142857153,0.7142857142857144,0.2857142857142856
val\7f9b7127d1a88a82,0.5714285714285712,0.5714285714285712,0.4285714285714284
val\8671b9d2f05bd71e,0.6428571428571423,0.6428571428571423,0.357142857142857
val\86c5af17b32eef57,0.35714285714285765,0.35714285714285676,0.6428571428571428
val\8892e718f9108db9,0.35714285714285765,0.35714285714285676,0.6428571428571428
val\8bb3568a52493241,0.2857142857142865,0.2857142857142847,0.7142857142857142
val\8c9a7e278dfe01ac,0.7857142857142865,0.7857142857142856,0.2142857142857142
val\91a42cd50669eb1f,0.5,0.5,0.5
val\91e576b193f2069a,0.6428571428571423,0.6428571428571423,0.357142857142857
val\958e61368a971549,0.2142857142857144,0.21428571428571352,0.7857142857142858
val\97632e05ede9db9b,0.7857142857142865,0.7857142857142856,0.2142857142857142
val\9a6d720df597c470,0.9285714285714288,0.9285714285714288,0.07142857142857117
val\9afa489be4d7691e,0.4285714285714288,0.42857142857142794,0.5714285714285714
val\a1b20ed591193c06,0.6428571428571423,0.6428571428571423,0.357142857142857
val\a1f824670da52b6a,0.5714285714285712,0.5714285714285712,0.4285714285714284
val\a2cc7a6895e43ee0,0.6428571428571423,0.6428571428571423,0.357142857142857
val\a62462153630add0,0.7857142857142865,0.7857142857142856,0.2142857142857142
val\a6b74e491c688fbd,0.4285714285714288,0.42857142857142794,0.5714285714285714
val\aa6964433c4166d0,0.7142857142857153,0.7142857142857144,0.2857142857142856
val\aae655de44b66c7f,0.2142857142857144,0.21428571428571352,0.7857142857142858
val\acd88b3067f9c5bb,0.4285714285714288,0.42857142857142794,0.5714285714285714
val\ae86e8d2241d9070,0.07142857142857117,0.07142857142857029,0.9285714285714286
val\aea1992252e3bd07,0.35714285714285765,0.35714285714285676,0.6428571428571428
val\af8a6ae70201f743,0.35714285714285765,0.35714285714285676,0.6428571428571428
val\b186a4c56fcb10b5,0.5714285714285712,0.5714285714285712,0.4285714285714284
val\bcc446bc9a9d8ca9,0.6428571428571423,0.6428571428571423,0.357142857142857
val\bef3af817b2b1bb3,0.5714285714285712,0.5714285714285712,0.4285714285714284
val\c21c2bd8a499ed95,0.4285714285714288,0.42857142857142794,0.5714285714285714
val\c86922f5e2ca135d,0.14285714285714324,0.14285714285714146,0.857142857142857
val\c8c26dcc1d9f6052,0.07142857142857117,0.07142857142857029,0.9285714285714286
val\c95ce86e4f3819d3,0.6428571428571423,0.6428571428571423,0.357142857142857
val\d199144d2c868f25,0.7142857142857153,0.7142857142857144,0.2857142857142856
val\d1cab69266a93ea4,0.2142857142857144,0.21428571428571352,0.7857142857142858
val\e0e3c40a6628d76d,0.5714285714285712,0.5714285714285712,0.4285714285714284
val\ea1bb57990f26917,0.7857142857142865,0.7857142857142856,0.2142857142857142
