ImageID,Recall@100,Precision@100,FPR@100
val\01c04124383a9a02,0.7000000000000011,0.7000000000000011,0.29999999999999993
val\02da35e6e72d6816,0.7000000000000011,0.7000000000000011,0.29999999999999993
val\059762c5ad4c9915,0.6000000000000014,0.6000000000000014,0.4
val\078f626aaf5d66b3,0.7000000000000011,0.7000000000000011,0.29999999999999993
val\0801961485534636,0.7000000000000011,0.7000000000000011,0.29999999999999993
val\0c45e0bb7ec6a115,0.20000000000000107,0.20000000000000107,0.7999999999999999
val\0d605ebce175a954,0.5,0.5,0.5
val\0e33ed07b5579745,0.10000000000000142,0.09999999999999964,0.9
val\0ece200ac7184f23,0.7000000000000011,0.7000000000000011,0.29999999999999993
val\0f862ba6b3a44d53,0.6000000000000014,0.6000000000000014,0.4
val\12b7ea40074d3b20,0.7000000000000011,0.7000000000000011,0.29999999999999993
val\137cc3be5fc280f0,0.20000000000000107,0.20000000000000107,0.7999999999999999
val\154bf3c92a7c6d27,0.3000000000000007,0.3000000000000007,0.7000000000000001
val\164f6f826e8b1da8,0.6000000000000014,0.6000000000000014,0.4
val\191f379445cde3ee,0.40000000000000036,0.40000000000000036,0.6
val\1a9add425717dc50,0.20000000000000107,0.20000000000000107,0.7999999999999999
val\1d1f0931facb930f,0.3000000000000007,0.3000000000000007,0.7000000000000001
val\2183c4c43da51398,0.3000000000000007,0.3000000000000007,0.7000000000000001
val\2230b13c834b4db6,0.20000000000000107,0.20000000000000107,0.7999999999999999
val\242f6d1f14ef83b5,0.9000000000000004,0.9000000000000004,0.09999999999999998
val\249f37fe659d30e9,0.3000000000000007,0.3000000000000007,0.7000000000000001
val\26bff4e2b0a6fb23,0.40000000000000036,0.40000000000000036,0.6
val\30f1505704cf7da0,0.3000000000000007,0.3000000000000007,0.7000000000000001
val\34a30e4c8da0fc8b,0.20000000000000107,0.20000000000000107,0.7999999999999999
val\3d98e3713783e82d,0.3000000000000007,0.3000000000000007,0.7000000000000001
val\3f68392f5de2dd2a,0.9000000000000004,0.9000000000000004,0.09999999999999998
val\40cab8fe7b185ee3,0.20000000000000107,0.20000000000000107,0.7999999999999999
val\45a9d4201b38e7dc,0.0,0.0,0.9999999999999999
val\4688e6220a92562a,0.40000000000000036,0.40000000000000036,0.6
val\5054436b64e6c94f,0.40000000000000036,0.40000000000000036,0.6
val\50f3d5e1dc8d46a1,0.20000000000000107,0.20000000000000107,0.7999999999999999
val\5688af831de73279,0.3000000000000007,0.3000000000000007,0.7000000000000001
val\5a0bf4939c13a660,0.5,0.5,0.5
val\5b3823ac7b444530,0.40000000000000036,0.40000000000000036,0.6
val\5b4f12b62785614c,0.6000000000000014,0.6000000000000014,0.4
val\5e472cbdc51dbe02,0.9000000000000004,0.9000000000000004,0.09999999999999998
val\62e64e97fc4b9631,0.20000000000000107,0.20000000000000107,0.7999999999999999
val\643996d130d3f85a,0.40000000000000036,0.40000000000000036,0.6
val\645e33574cbb8e25,0.40000000000000036,0.40000000000000036,0.6
val\661a10686c2151f3,0.20000000000000107,0.20000000000000107,0.7999999999999999
val\66771a4870c324f9,0.3000000000000007,0.3000000000000007,0.7000000000000001
val\67e0432044c7427c,0.20000000000000107,0.20000000000000107,0.7999999999999999
val\69e8dc2d99fe5bc1,0.40000000000000036,0.40000000000000036,0.6
val\6a7d21f4ea6a449e,0.0,0.0,0.9999999999999999
val\6acfd1376e8dbf14,0.5,0.5,0.5
val\6d48d653a7dfeb8e,0.7000000000000011,0.7000000000000011,0.29999999999999993
val\73ebd24bddd4ef23,0.8000000000000007,0.7999999999999989,0.19999999999999996
val\7611a13aa09c19f3,0.40000000000000036,0.40000000000000036,0.6
