ImageID,Recall@1000,Precision@1000,FPR@1000
01c04124383a9a02,0.08634657182375025,0.874,0.001445766543126298
02da35e6e72d6816,0.08684054534676941,0.879,0.0013883948549070005
059762c5ad4c9915,0.08802608180201542,0.891,0.0012507028031806865
078f626aaf5d66b3,0.08693934005137324,0.88,0.001376920517263141
0801961485534636,0.08753210827899624,0.886,0.0013080744913999839
0c45e0bb7ec6a115,0.08684054534676941,0.879,0.0013883948549070005
0d605ebce175a954,0.08713692946058091,0.882,0.001353971841975422
0e33ed07b5579745,0.08585259830073108,0.869,0.0015031382313455957
0ece200ac7184f23,0.08743331357439241,0.885,0.0013195488290438434
0f862ba6b3a44d53,0.08782849239280774,0.889,0.0012736514784684055
12b7ea40074d3b20,0.08733451886978857,0.884,0.001331023166687703
137cc3be5fc280f0,0.0877296976882039,0.888,0.0012851258161122648
154bf3c92a7c6d27,0.08703813475597708,0.881,0.0013654461796192814
164f6f826e8b1da8,0.08763090298360007,0.887,0.0012966001537561243
191f379445cde3ee,0.08634657182375025,0.874,0.001445766543126298
1a9add425717dc50,0.08684054534676941,0.879,0.0013883948549070005
1d1f0931facb930f,0.08605018770993875,0.871,0.0014801895560578766
2183c4c43da51398,0.08575380359612725,0.868,0.001514612568989455
2230b13c834b4db6,0.08545741948231575,0.865,0.0015490355819210335
242f6d1f14ef83b5,0.08753210827899624,0.886,0.0013080744913999839
249f37fe659d30e9,0.08822367121122308,0.893,0.0012277541278929674
26bff4e2b0a6fb23,0.08802608180201542,0.891,0.0012507028031806865
30f1505704cf7da0,0.08693934005137324,0.88,0.001376920517263141
34a30e4c8da0fc8b,0.08664295593756174,0.877,0.0014113435301947195
3d98e3713783e82d,0.08624777711914641,0.873,0.0014572408807701576
3f68392f5de2dd2a,0.08684054534676941,0.879,0.0013883948549070005
40cab8fe7b185ee3,0.08634657182375025,0.874,0.001445766543126298
45a9d4201b38e7dc,0.08634657182375025,0.874,0.001445766543126298
4688e6220a92562a,0.08595139300533491,0.87,0.0014916638937017362
5054436b64e6c94f,0.08614898241454258,0.872,0.0014687152184140171
50f3d5e1dc8d46a1,0.08743331357439241,0.885,0.0013195488290438434
5688af831de73279,0.08743331357439241,0.885,0.0013195488290438434
5a0bf4939c13a660,0.08664295593756174,0.877,0.0014113435301947195
5b3823ac7b444530,0.08664295593756174,0.877,0.0014113435301947195
5b4f12b62785614c,0.08723572416518474,0.883,0.0013424975043315624
5e472cbdc51dbe02,0.08664295593756174,0.877,0.0014113435301947195
