ImageID,Recall@1000,Precision@1000,FPR@1000
01408d986127ece3,0.03183916138621607,0.814,0.00259388902059771
06fb3d0c72b5525a,0.033716654932332,0.862,0.0019244983056047526
0ba9d2cc31b93d70,0.03285613705702887,0.84,0.0022313023833098584
111147418c6aca65,0.03309082375029336,0.846,0.0021476285439357384
14bbb30e5c1c47c7,0.033755769381209416,0.863,0.001910552665709066
171546f1fe02871a,0.031565360244074164,0.807,0.0026915084998675163
173712775e7fcfd4,0.0319173902839709,0.816,0.002565997740806337
186fc1b6f554bd47,0.03316905264804819,0.848,0.0021197372641443652
1a625448d695670f,0.033755769381209416,0.863,0.001910552665709066
1b9eedb6cb97956d,0.03328639599468043,0.851,0.0020779003444573053
1c1133f6f6aa4ef9,0.03391222717671908,0.867,0.0018547701061263197
1f4000034adb1fdd,0.0342251427677384,0.875,0.0017432049869608268
2905f2523eef4161,0.033716654932332,0.862,0.0019244983056047526
290e908272641aef,0.03391222717671908,0.867,0.0018547701061263197
2e35db95ed8f1797,0.0332081670969256,0.849,0.0021057916242486784
347fd75ef8fcf224,0.03340373934131268,0.854,0.0020360634247702457
3626740fda57a93e,0.03277790815927403,0.838,0.0022591936631012315
373eb7cd1849a39d,0.032817022608151454,0.839,0.0022452480232055447
3755c2ba902d1232,0.032386763670499884,0.828,0.0023986500620580974
37d55069ed038846,0.03336462489243527,0.853,0.002050009064665932
39b5b4e79314053e,0.03082218571540327,0.788,0.002956475657885562
3e7dc18b602acadb,0.03266056481264179,0.835,0.002301030582788291
421434890e4e5a48,0.03199561918172573,0.818,0.0025381064610149637
46d111008b949d45,0.033521082687944924,0.857,0.0019942265050831858
480f1a68cf4729d6,0.03211296252835798,0.821,0.0024962695413279037
4afb285eb4e18b62,0.03273879371039662,0.837,0.002273139302996918
4c5b9bf9a01e1c3a,0.0319173902839709,0.816,0.002565997740806337
4ce04dd01e8cc984,0.032269420323867634,0.825,0.0024404869817451573
517e9176710959b7,0.03266056481264179,0.835,0.002301030582788291
52ed5e710c170a9b,0.032621450363764376,0.834,0.002314976222683978
562694146f07e02f,0.032191191426112806,0.823,0.0024683782615365305
572b3697f7440633,0.03066572791989361,0.784,0.0030122582174683084
59f9f4e9741794fc,0.03379488383008684,0.864,0.0018966070258133795
5ba6bdcb9672d003,0.033129938199170775,0.847,0.002133682904040052
5be6badf81b1e05e,0.03336462489243527,0.853,0.002050009064665932
5f5077046e9c6d89,0.03316905264804819,0.848,0.0021197372641443652
617ed32ce60b1e44,0.03273879371039662,0.837,0.002273139302996918
65352fe99399e00b,0.0329343659547837,0.842,0.0022034111035184848
690a50e3712569f8,0.03348196823906751,0.856,0.0020081721449788726
6b502484fdd4e783,0.033638426034577174,0.86,0.001952389585396126
6bfd1823081be34d,0.03348196823906751,0.856,0.0020081721449788726
6c83fff0a0660a78,0.0332081670969256,0.849,0.0021057916242486784
72fc461a0344d46d,0.03340373934131268,0.854,0.0020360634247702457
743634cc3cd62061,0.033755769381209416,0.863,0.001910552665709066
7a69fa57848d0afb,0.03266056481264179,0.835,0.002301030582788291
7b3a1a40553fb327,0.03379488383008684,0.864,0.0018966070258133795
7b3cc1abf51daf61,0.03410779942110616,0.872,0.0017850419066478866
7b9470b43d3d322a,0.03246499256825471,0.83,0.002370758782266724
