ImageID,Recall@1000,Precision@1000,FPR@1000
00a159a661a2f5aa,0.08747384937238493,0.669,0.003693165969316597
01ab773186c630c4,0.08315899581589958,0.636,0.00406136680613668
022c1f420446d118,0.09427301255230125,0.721,0.003112970711297071
032827813ff3b2b6,0.07884414225941423,0.603,0.004429567642956764
04d424649c98bf80,0.08682008368200837,0.664,0.0037489539748953977
05e3e00773c6c141,0.09270397489539749,0.709,0.0032468619246861924
06d1d39cbea07874,0.08865062761506276,0.678,0.0035927475592747557
105c98d1ee5f03ef,0.08956589958158996,0.685,0.003514644351464435
1144ce67b0a76151,0.09139644351464435,0.699,0.0033584379358437937
12e21b9f7fefde62,0.08368200836820083,0.64,0.0040167364016736404
17bd55167ae12a05,0.09152719665271966,0.7,0.0033472803347280333
1872ac6a8cfded6b,0.08132845188284518,0.622,0.004217573221757322
1be51b9791a3a003,0.0899581589958159,0.688,0.003481171548117155
20475afc076832f3,0.08185146443514645,0.626,0.0041729428172942815
208fcde7b90bcbf8,0.08682008368200837,0.664,0.0037489539748953977
23b73886e375fa7e,0.08185146443514645,0.626,0.0041729428172942815
259973154f41d50f,0.08355125523012552,0.639,0.0040278940027894
26bff4e2b0a6fb23,0.08747384937238493,0.669,0.003693165969316597
27337e0ad2040478,0.08917364016736401,0.682,0.0035481171548117155
2b7d4c36406a4395,0.08381276150627615,0.641,0.00400557880055788
2c1947f1b7d89a5e,0.08917364016736401,0.682,0.0035481171548117155
2c377a54637a5029,0.09479602510460251,0.725,0.0030683403068340305
2cfc89609e8b0c28,0.08590481171548117,0.657,0.003827057182705718
2d609b81a696d4a3,0.09453451882845189,0.723,0.003090655509065551
320f266192a707b8,0.08747384937238493,0.669,0.003693165969316597
32365f852b3fd020,0.08812761506276151,0.674,0.0036373779637377964
39bd30d526975082,0.09309623430962342,0.712,0.003213389121338912
3aa0e7de9aa1d4b7,0.09361924686192469,0.716,0.003168758716875872
4574d45c7cfb4ac9,0.08368200836820083,0.64,0.0040167364016736404
457bd120a6d2f542,0.08878138075313807,0.679,0.0035815899581589958
468677e4edb7757a,0.08956589958158996,0.685,0.003514644351464435
49316659bb54ce01,0.08825836820083682,0.675,0.0036262203626220364
508ea5e3a1ca4dad,0.09021966527196652,0.69,0.0034588563458856345
51006e6871aac2b0,0.087081589958159,0.666,0.0037266387726638773
517e9176710959b7,0.09074267782426779,0.694,0.0034142259414225943
5278129f90393f7b,0.08106694560669456,0.62,0.004239888423988842
566b00e0075d382e,0.08812761506276151,0.674,0.0036373779637377964
5c755cf0c52ba152,0.08211297071129707,0.628,0.004150627615062762
60ab1d0951c16a94,0.09623430962343096,0.736,0.0029456066945606693
